Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Data Analysis with Generative AI,PSL53274.00,Online Course,Completed,7/15/2024,7/15/2024,752,Seconds,1
Design Principles for Effective Storage Solutions,PSL6933.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Design Principles for Implementing Batch Processing Solutions,PSL6983.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Design Principles for Implementing Data Security with Microsoft Azure,PSL7073.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Design Principles for Implementing Stream Processing Solution,PSL7518.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Design Principles for Partitioning with Azure,PSL6923.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Enhance Online Research with Copilot's AI-powered Search Features,S9274656,Online Course,Completed,,7/15/2024,180,Seconds,1
Enterprise RAG Solution Accelerator,S9284670,Online Course,Completed,7/15/2024,7/15/2024,8424,Seconds,1
Fundamental AI Concepts,S9273383,Online Course,Completed,,7/15/2024,1800,Seconds,1
Fundamentals of Azure OpenAI Service,S9282924,Online Course,Completed,7/15/2024,7/15/2024,2304,Seconds,1
Fundamentals of Azure OpenAI Service,S9282924,Online Course,CompletedByAlternative,,7/15/2024,2304,Seconds,1
Generate User Personas and Journeys Using Generative AI Tools,PSL53275.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Generative AI: The Evolution of Thoughtful Online Search,S9273392,Online Course,Completed,,7/15/2024,1584,Seconds,1
Get started with prompt flow to develop language model apps in the Azure AI Studio,S9283829,Online Course,Completed,7/15/2024,7/15/2024,2700,Seconds,1
GPT-4 Turbo: OpenAI's GPT Model and What You Need to Know,LINKEDINLEARNING_83306,Online Course,Completed,,7/15/2024,0,Seconds,1
"Guidance: Using ChatGPT, Copilot (Formerly Bing Chat), and other AI services Safely and Securely",S9273384,Online Course,Completed,,7/15/2024,324,Seconds,1
Insider Threat for Sponsors of External Staff,S9227833,Online Course,Completed,7/15/2024,7/15/2024,1188,Seconds,1
Integrate a fine-tuned language model with your copilot in the Azure AI Studio,S9285320,Online Course,Completed,7/15/2024,7/15/2024,2232,Seconds,1
Integrate a fine-tuned language model with your copilot in the Azure AI Studio,S9285320,Online Course,CompletedByAlternative,,7/15/2024,2232,Seconds,1
Introduction to Copilot for Microsoft 365,S9271617,Online Course,Completed,7/15/2024,7/15/2024,900,Seconds,1
Large Language Models,S9283785,Online Course,Completed,7/15/2024,7/15/2024,612,Seconds,1
Learn By Doing: An Exploration of AI with AI!,S9273358,Online Course,Completed,7/15/2024,7/15/2024,900,Seconds,1
NEW: Build a RAG-based copilot solution with your own data using Azure AI Studio,S9283669,Online Course,Completed,7/15/2024,7/15/2024,2412,Seconds,1
NEW: Build a RAG-based copilot solution with your own data using Azure AI Studio,S9283669,Online Course,CompletedByAlternative,,7/15/2024,2412,Seconds,1
Perform vector search and retrieval in Azure AI Search,S9283662,Online Course,Completed,7/15/2024,7/15/2024,1224,Seconds,1
Preparing Data with Generative AI,PSL53301.00,Online Course,Completed,7/15/2024,7/15/2024,,,1
Prompting in Copilot for Microsoft 365,S9278650,Online Course,Completed,7/15/2024,7/15/2024,1188,Seconds,1
Reminder – Use AI Services Safely and Securely,S9275653,Online Course,Completed,7/15/2024,7/15/2024,360,Seconds,1
Self-Attestation: SkillUp AI Practice,S9287677,Online Course,CompletedByAlternative,,7/15/2024,324,Seconds,1
SkillUp AI Challenge,S9273391,Online Course,Completed,,7/15/2024,1800,Seconds,1
Streamlining Your Work with Microsoft Copilot (February 2024),LINKEDINLEARNING_83377,Online Course,Completed,,7/15/2024,0,Seconds,1
Test Out: Build a RAG-based copilot solution with your own data using Azure AI Studio,S9284037,Online Course,Completed,7/15/2024,7/15/2024,612,Seconds,1
Test Out: Build your kernel,S9284038,Online Course,Completed,7/15/2024,7/15/2024,612,Seconds,1
Test Out: Create an Azure AI Search solution,S9284036,Online Course,Completed,7/15/2024,7/15/2024,612,Seconds,1
Test Out: Fundamentals of Azure OpenAI service,S9284034,Online Course,Completed,7/15/2024,7/15/2024,612,Seconds,1
Test Out: Integrate a fine-tuned language model with your copilot in the Azure AI Studio,S9285301,Online Course,Completed,7/15/2024,7/15/2024,612,Seconds,1
Describe Microsoft Security Copilot,92a893c9-f865-44fe-a545-8e54ffebba28,Online Course,Completed,,7/12/2024,1920,Seconds,1
Describe the core features of Microsoft Security Copilot,959816a8-422c-468d-8be9-12bff8b779c0,Online Course,Completed,,7/12/2024,3600,Seconds,1
Describe the embedded experiences of Microsoft Security Copilot,8c2a12a9-9fa6-400f-a80d-14dc9588905d,Online Course,Completed,,7/12/2024,3120,Seconds,1
Discover Microsoft Intune essentials,2466b895-22b1-40ca-9e7a-7dd574e41394,Online Course,Completed,,7/12/2024,1800,Seconds,1
Enhance endpoint security with Microsoft Intune and Microsoft Security Copilot,316b9873-bc96-4a74-8f97-7ea6dfdde1f6,Online Course,Completed,,7/12/2024,16200,Seconds,1
Enhance security operations by using Microsoft Security Copilot,667ad24f-c7fb-45e9-9ee1-713e5035d18f,Online Course,Completed,,7/12/2024,22320,Seconds,1
Explore use cases of Microsoft Security Copilot,5572ba06-1f5d-43c2-9639-5bc22435f133,Online Course,Completed,,7/12/2024,11940,Seconds,1
Mitigate threats using Microsoft Security Copilot,b2d8f1eb-88bb-46c2-8796-ca674fb398c6,Online Course,Completed,,7/12/2024,17640,Seconds,1
Optimize Microsoft Intune for Microsoft Security Copilot Integration,ac8d3b14-f691-498a-aafc-208ac9d997f2,Online Course,Completed,,7/12/2024,2820,Seconds,1
Unlock Insights with Microsoft Security Copilot,83377626-fff8-4c99-8422-948f9d002a00,Online Course,Completed,,7/12/2024,1740,Seconds,1
3D Interactive Datacenter Tour,S9264061,Online Course,Completed,,7/11/2024,576,Seconds,1
3D Interactive Global Infrastructure Map,S9264070,Online Course,Completed,,7/11/2024,576,Seconds,1
CO+I Global Onboarding Guide,S9273028,Online Course,Completed,7/11/2024,7/11/2024,86400,Seconds,1
CO+I Sustainability: Carbon,S9244464,Online Course,Completed,7/11/2024,7/11/2024,1188,Seconds,1
CO+I Sustainability: Ecosystem,S9244467,Online Course,Completed,7/11/2024,7/11/2024,1188,Seconds,1
CO+I Sustainability: Water,S9244465,Online Course,Completed,7/11/2024,7/11/2024,1188,Seconds,1
Do No Significant Harm (DNSH) Policy Position,S9262794,Online Course,Completed,,7/11/2024,1296,Seconds,1
Ecosystems Policy Position,S9262797,Online Course,Completed,,7/11/2024,1368,Seconds,1
Embodied Carbon Policy Position,S9262792,Online Course,Completed,,7/11/2024,1116,Seconds,1
Learn to Earn: Quota mastery,S9232807,Online Course,Completed,7/11/2024,7/11/2024,1800,Seconds,1
Learn to Earn: RBI compensation fundamentals,S9232701,Online Course,Completed,7/11/2024,7/11/2024,1224,Seconds,1
Learn to Earn: RBI compensation tools & resources,S9232708,Online Course,Completed,7/11/2024,7/11/2024,1512,Seconds,1
NOx Emissions,S9284181,Online Course,Completed,,7/11/2024,3600,Seconds,1
Petro-free Diesel and Hydrogen Innovation Policy Position,S9262791,Online Course,Completed,,7/11/2024,1188,Seconds,1
Policy Positions Overview,S9262789,Online Course,CompletedByAlternative,,7/11/2024,1548,Seconds,2
Refrigerants Policy Position (V2),S9262790,Online Course,Completed,,7/11/2024,1260,Seconds,1
Sulphur Hexafluoride (SF6) Policy Position,S9275671,Online Course,Completed,,7/11/2024,1800,Seconds,1
Waste Heat Reuse (WHR) Policy Position,S9262793,Online Course,Completed,,7/11/2024,1296,Seconds,1
Waste Policy Position,S9262796,Online Course,Completed,,7/11/2024,1260,Seconds,1
eCornell AI and Digital Technology: Opportunities and Pitfalls,S9282842,Online Course,Completed,7/10/2024,7/10/2024,36,Seconds,1
eCornell Making Predictions and Forecasts with Data,S9204938,Online Course,Completed,7/10/2024,7/10/2024,36,Seconds,1
Learn to Earn: FY25 Azure Data & AI,S9282459,Online Course,Completed,7/10/2024,7/10/2024,720,1,1
Building AI Skills with Microsoft Copilot Lab,LINKEDINLEARNING_85104,Online Course,Completed,,7/9/2024,0,Seconds,1
The Science of Selling: Proven Strategies to Close the Deal,LINKEDINLEARNING_74945,Online Course,Completed,,7/9/2024,0,Seconds,1
Agile Practices Using AI,LINKEDINLEARNING_86463,Online Course,Completed,,7/8/2024,0,Seconds,1
Creating Synthetic Datasets with Generative AI,PSL54254.00,Online Course,Completed,7/8/2024,7/8/2024,909,Seconds,1
Ethics for Computer Vision,PSL51504.00,Online Course,Completed,7/8/2024,7/8/2024,1457,Seconds,1
FY25 Labor recording and approval training,S9283610,Online Course,Completed,7/8/2024,7/8/2024,612,Seconds,1
Improving Your Mental Health at Work,LINKEDINLEARNING_79019,Online Course,Completed,,7/8/2024,0,Seconds,1
Leading Through Anxiety,LINKEDINLEARNING_77270,Online Course,Completed,,7/8/2024,0,Seconds,1
Machine Learning Operations (MLOps) with Vertex AI: Model Evaluation,PSL55375.00,Online Course,Completed,7/8/2024,7/8/2024,4006,Seconds,1
Multi-modal RAGs,PSL54121.00,Online Course,Completed,7/8/2024,7/8/2024,1432,Seconds,1
Visualizing Data with Generative AI,PSL53890.00,Online Course,Completed,7/8/2024,7/8/2024,823,Seconds,1
AI for educators,5bff12cf-cce7-4dde-bf88-5985d3720799,Online Course,Completed,,7/7/2024,14400,Seconds,1
Build a digital learning hub with Class Teams,ff33f2bb-81dc-402c-a4f5-d09955028afb,Online Course,Completed,,7/7/2024,2700,Seconds,1
Build your first end-to-end test with Playwright,4c886d73-0c7b-48aa-b5fa-98ca24113956,Online Course,Completed,,7/7/2024,3840,Seconds,1
Demonstrate the capabilities of Microsoft Power Pages,7f532f7d-1089-46e6-b20d-6b80f4f5fbc0,Online Course,Completed,,7/7/2024,2460,Seconds,1
Describe the AI authoring experience in Power Platform,ab5cbc9c-0866-4a4a-8e40-9d6997ba4515,Online Course,Completed,,7/7/2024,2940,Seconds,1
Develop code features using GitHub Copilot tools,fd476d55-6fbb-4118-ab5b-4d3ef9a0c1bf,Online Course,Completed,,7/7/2024,4440,Seconds,1
Develop computer vision solutions in Azure,8bd86010-b050-45ea-b948-0d1a32f70054,Online Course,Completed,,7/7/2024,23700,Seconds,1
Develop unit tests using GitHub Copilot tools,d2a7ca35-56e3-4fd1-970c-2aeda1177a31,Online Course,Completed,,7/7/2024,4080,Seconds,1
Enhance school communication and collaboration in Microsoft Teams,4581943f-35a8-46f0-8355-07fa3597f46c,Online Course,Completed,,7/7/2024,3600,Seconds,1
Enhance teaching and learning with Microsoft 365 Copilot Chat,931e5e0a-b901-48a9-a560-acb50462d07e,Online Course,Completed,,7/7/2024,4200,Seconds,1
Equip and support learners with AI tools from Microsoft,b4b0ef85-9e91-4061-9ee5-ce336ae31170,Online Course,Completed,,7/7/2024,3900,Seconds,1
Generate documentation using GitHub Copilot tools,fce4fc05-340b-476b-9e1f-73ffd7ced2d0,Online Course,Completed,,7/7/2024,4080,Seconds,1
Get started with AI-assisted development,56b5a41f-94d0-4b13-8399-f3b3b3e010c1,Online Course,Completed,,7/7/2024,28740,Seconds,1
Get started with GitHub Copilot,b8141cf9-9e89-478d-8407-c8ceec79b500,Online Course,Completed,,7/7/2024,6540,Seconds,1
Get started with Microsoft Teams for Education,494c8d20-da13-40a8-8473-80e585fa8139,Online Course,Completed,,7/7/2024,3600,Seconds,1
Identify foundational components of Microsoft Power Platform,92772ed8-7ef7-41ef-b03e-b17b6466fca9,Online Course,Completed,,7/7/2024,4200,Seconds,1
Image classification with custom Azure AI Vision models,c22044d5-6618-4dd7-a6c9-bc5d04440f18,Online Course,Completed,,7/7/2024,2400,Seconds,1
Implement a data warehouse with Microsoft Fabric,3db6b014-d716-4608-9844-73e662122cd0,Online Course,Completed,,7/7/2024,23880,Seconds,1
Implement a responsible generative AI solution in Microsoft Foundry,354b1f6a-7897-45ed-acd9-652091d3733d,Online Course,Completed,,7/7/2024,2700,Seconds,1
Implement code improvements using GitHub Copilot tools,13cfed88-2c99-47fe-ae7e-ff9a2d6a522b,Online Course,Completed,,7/7/2024,4800,Seconds,1
Introduction to GitHub Copilot Enterprise,9914f3d2-93ca-4bb2-8f41-11f0005bb7aa,Online Course,Completed,,7/7/2024,1020,Seconds,1
Introduction to prompt engineering with GitHub Copilot,dc70af00-c96f-42af-a666-cf083c30f0dd,Online Course,Completed,,7/7/2024,1800,Seconds,1
Microsoft 365 Education teacher academy,fb69bb91-51df-45fa-8dec-d1b9aef3bc05,Online Course,Completed,,7/7/2024,19680,Seconds,1
Monitor a Microsoft Fabric data warehouse,617ccbd3-0547-41c1-9b57-01dd15678d87,Online Course,Completed,,7/7/2024,3120,Seconds,1
"Organize content, create assignments, and assess learners' understanding in Teams",46693a2a-adb6-46b5-ab90-e97d9a20218e,Online Course,Completed,,7/7/2024,3000,Seconds,1
Query a data warehouse in Microsoft Fabric,96e972d4-2058-44a0-ab8f-dc399fe39cbb,Online Course,Completed,,7/7/2024,4020,Seconds,1
Secure a Microsoft Fabric data warehouse,a10830f5-8088-4d6b-aafa-e83ea658e7d9,Online Course,Completed,,7/7/2024,4440,Seconds,1
Track model training in Jupyter notebooks with MLflow,ef4c8ca9-b6d3-4fa4-bbab-59f6a686b323,Online Course,Completed,,7/7/2024,1980,Seconds,1
Use notebooks for experimentation in Azure Machine Learning,6b66cded-b4e6-4ce5-8206-e6c4fe9be8cd,Online Course,Completed,,7/7/2024,1980,Seconds,1
Using advanced GitHub Copilot features,6c54eec0-ffb9-432e-bc79-48ecef6d80a9,Online Course,Completed,,7/7/2024,1320,Seconds,1
About Be Well,S9263832,Online Course,Completed,,7/6/2024,72,Seconds,1
Energy Levels,S9263860,Online Course,Completed,,7/6/2024,1800,Seconds,1
Microsoft Wellbeing Homepage,S9263830,Online Course,Completed,,7/6/2024,900,Seconds,1
MS Cares,S9263831,Online Course,Completed,,7/6/2024,900,Seconds,1
Self Care,S9263861,Online Course,Completed,,7/6/2024,1800,Seconds,1
Shared Accountability for Wellbeing,S9263828,Online Course,Completed,,7/6/2024,144,Seconds,1
Sleep,S9263862,Online Course,Completed,,7/6/2024,1800,Seconds,1
The Importance of Prioritizing Employee Wellbeing,S9263829,Online Course,Completed,,7/6/2024,360,Seconds,1
Accelerating Sustainability with AI: A Playbook,S9275730,Online Course,Completed,,7/5/2024,1260,Seconds,1
Before You Begin: Prepare for the Learning Path,S9267945,Online Course,Completed,,7/5/2024,108,Seconds,1
CO+I Community and Sustainability Information Hub,S9244463,Online Course,Completed,,7/5/2024,1188,Seconds,1
CO+I Sustainability: Applying Sustainability in the Workplace Resources,S9249640,Online Course,Completed,7/5/2024,7/5/2024,900,Seconds,1
CO+I Sustainability: Global Resources,S9249637,Online Course,Completed,7/5/2024,7/5/2024,900,Seconds,1
CO+I Sustainability: Microsoft Resources,S9249639,Online Course,Completed,7/5/2024,7/5/2024,900,Seconds,1
CO+I Sustainability: Waste,S9244466,Online Course,Completed,7/5/2024,7/5/2024,1188,Seconds,1
CO+I Zero Waste Training,S9278643,Online Course,Completed,7/5/2024,7/5/2024,1188,Seconds,1
Copilot for M365,S9279549,Online Course,Completed,,7/5/2024,0,Seconds,1
Current State of Affairs on Wellbeing,S9263810,Online Course,Completed,,7/5/2024,144,Seconds,1
Diversity & Inclusion for CO+I Learning Path Completion and Survey,LPS10014,Online Course,Completed,7/5/2024,7/5/2024,288,Seconds,1
Introduction to Circular Centers: Mission Vision Values,S9216800,Online Course,Completed,7/5/2024,7/5/2024,1188,Seconds,1
Learn more about ChatGPT,S9265932,Online Course,Completed,,7/5/2024,180,Seconds,1
Sustainability for CO+I Learning Path Completion and Survey,LPS10015,Online Course,Completed,7/5/2024,7/5/2024,288,Seconds,1
Sustainability in Action Badge,S9262798,Online Course,Completed,,7/5/2024,3600,Seconds,1
Sustainability Training SharePoint,S9244462,Online Course,Completed,,7/5/2024,1188,Seconds,1
The Importance of Wellbeing,S9263827,Online Course,Completed,,7/5/2024,252,Seconds,1
Building Credibility for Yourself and Your Brand,S9254893,Online Course,Completed,7/4/2024,7/4/2024,1008,Seconds,1
Compliance and Regulations for Generative AI,LINKEDINLEARNING_85036,Online Course,Completed,,7/4/2024,0,Seconds,1
Impact Storytelling 101,S9256642,Online Course,Completed,7/4/2024,7/4/2024,576,Seconds,1
Impact Storytelling 201,S9256640,Online Course,Completed,7/4/2024,7/4/2024,1476,Seconds,1
2024 Security Foundations: Protect your data,S9282592,Online Course,Completed,7/1/2024,7/1/2024,1512,Seconds,1
Building in Azure AI Foundry (Formerly Azure AI Studio),LINKEDINLEARNING_86468,Online Course,Completed,,7/1/2024,0,Seconds,1
Building Machine Learning Models on Databricks,PSL11588.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
ChatGPT and SQL,LINKEDINLEARNING_85241,Online Course,Completed,,7/1/2024,0,Seconds,1
Claude 3 Advanced Features,PSL54984.00,Online Course,Completed,7/1/2024,7/1/2024,687,Seconds,1
Develop a Product Roadmap Using Generative AI,PSL53891.00,Online Course,Completed,7/1/2024,7/1/2024,1342,Seconds,1
From pandas to Polars,LINKEDINLEARNING_86482,Online Course,Completed,,7/1/2024,0,Seconds,1
Gemini: Prompt Engineering for IT Administrators,PSL51488.00,Online Course,Completed,7/1/2024,7/1/2024,790,Seconds,1
OpenAI Assistant API,PSL23204.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
OpenAI Chat Completions API,PSL22344.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
OpenAI Image API,PSL24653.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
OpenAI Model Selection and Integrations,PSL20027.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
OpenAI Security and Moderations,PSL25680.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
OpenAI Transcription API,PSL24398.00,Online Course,Completed,7/1/2024,7/1/2024,,,1
Content Policy Framework,S9285180,Online Course,Completed,6/28/2024,6/28/2024,612,Seconds,1
AI Usage Policy Guide,S9282880,Online Course,Completed,6/27/2024,6/27/2024,1224,Seconds,1
AI Usage Policy Template,S9282879,Online Course,Completed,6/27/2024,6/27/2024,576,Seconds,1
Consent to data sharing,S9283617,Online Course,Completed,6/27/2024,6/27/2024,144,Seconds,1
Delivery attestation,S9283616,Online Course,Completed,6/27/2024,6/27/2024,144,Seconds,1
Embrace responsible AI principles and practices,S9282621,Online Course,Completed,,6/27/2024,2988,Seconds,2
Fundamentals of Generative AI,S9282694,Online Course,Completed,,6/27/2024,2412,Seconds,2
Getting Started Guide,S9283615,Online Course,Completed,6/27/2024,6/27/2024,576,Seconds,1
Introduction to Nonprofit Advisors,S9283962,Online Course,Completed,6/27/2024,6/27/2024,324,Seconds,1
Knowledge Check,S9284095,Online Course,Completed,6/27/2024,6/27/2024,1224,Seconds,1
Nonprofit Advisor: AI Usage Policy Badge,8956,LearningPath,Completed,6/27/2024,6/27/2024,12300,Seconds,1
Pre and Post-Call Email Templates,S9283961,Online Course,Completed,6/27/2024,6/27/2024,288,Seconds,1
eCornell Societal Impacts of AI,S9269611,Online Course,Completed,6/26/2024,6/26/2024,36,Seconds,1
eCornell Strategic Implementation of AI Systems,S9269610,Online Course,Completed,6/26/2024,6/26/2024,36,Seconds,1
eCornell The Future of AI,S9269609,Online Course,Completed,6/26/2024,6/26/2024,36,Seconds,1
Create Azure Resource Templates Using Generative AI,PSL53892.00,Online Course,Completed,6/24/2024,6/24/2024,1119,Seconds,1
Data Portfolio Development with Generative AI,PSL54319.00,Online Course,Completed,6/24/2024,6/24/2024,766,Seconds,1
Enhance Your Coaching Impact with Generative AI,LINKEDINLEARNING_86082,Online Course,Completed,,6/24/2024,0,Seconds,1
Feature Engineering with Generative AI,PSL53905.00,Online Course,Completed,6/24/2024,6/24/2024,1224,Seconds,1
Gemini: Prompt Engineering for Business Professionals,PSL51487.00,Online Course,Completed,6/24/2024,6/24/2024,1246,Seconds,1
Gemini: Prompt Engineering for Data Professionals,PSL51489.00,Online Course,Completed,6/24/2024,6/24/2024,1141,Seconds,1
Literacy Essentials: Core Concepts Deep Learning,PSL8551.00,Online Course,Completed,6/24/2024,6/24/2024,,,1
Programming with the Gemini Flash API,LINKEDINLEARNING_85238,Online Course,Completed,,6/24/2024,0,Seconds,1
Using Lightweight AI with Small Language Models,5926425,Online Course,Completed,6/18/2024,6/24/2024,963,Seconds,1
Using Lightweight AI with Small Language Models,LINKEDINLEARNING_85017,Online Course,Completed,,6/24/2024,0,Seconds,1
Open Source Development with the Stable Diffusion 3 API,2720004,Online Course,Completed,6/4/2024,6/18/2024,1063,Seconds,1
Anthropic: Prompt Engineering Best Practices,PSL51500.00,Online Course,Completed,6/17/2024,6/17/2024,2289,Seconds,1
Anthropic: Prompt Engineering for Cyber Security,PSL51499.00,Online Course,Completed,6/17/2024,6/17/2024,1220,Seconds,1
Anthropic: Prompt Engineering for IT Administrators,PSL51501.00,Online Course,Completed,6/17/2024,6/17/2024,,,1
Build an Object Detection Model with Python,PSL9452.00,Online Course,Completed,6/17/2024,6/17/2024,,,1
Implement Named Entity Recognition with BERT,PSL13439.00,Online Course,Completed,6/17/2024,6/17/2024,,,1
Implement Natural Language Processing for Word Embedding,PSL9453.00,Online Course,Completed,6/17/2024,6/17/2024,,,1
Quantum Spark Network Security,LINKEDINLEARNING_85106,Online Course,Completed,,6/17/2024,0,Seconds,1
ChatGPT: Extracting Insights from Information,PSL25816.00,Online Course,Completed,6/14/2024,6/14/2024,,,1
Documenting and Communicating a Generative AI Strategy,PSL54227.00,Online Course,Completed,6/14/2024,6/14/2024,839,Seconds,1
Gemini: Prompt Engineering for Image Generation with Gemini,PSL51490.00,Online Course,Completed,6/14/2024,6/14/2024,1001,Seconds,1
Generative AI for Business Analysis,PSL27161.00,Online Course,Completed,6/14/2024,6/14/2024,,,1
Generative AI for Leaders,PSL23769.00,Online Course,Completed,6/13/2024,6/14/2024,,,1
Generative AI for Project Managers,PSL51187.00,Online Course,Completed,6/14/2024,6/14/2024,4359,Seconds,1
Remaining Agile Through the Development of Generative AI,PSL53904.00,Online Course,Completed,6/14/2024,6/14/2024,738,Seconds,1
Streamline Data Queries with LangChain,PSL22555.00,Online Course,Completed,6/14/2024,6/14/2024,,,1
Generative AI for Improving Writing,PSL24784.00,Online Course,Completed,6/13/2024,6/13/2024,,,1
Gemini: Prompt Engineering for Developers,PSL51493.00,Online Course,Completed,6/11/2024,6/11/2024,,,1
Understanding Online Harms,S9283791,Online Course,Completed,6/11/2024,6/11/2024,612,Seconds,1
1% Leadership: How Tiny Changes Forge Great Leaders,LINKEDINLEARNING_85025,Online Course,Completed,,6/10/2024,0,Seconds,1
A Practical Guide to Upskilling Your Organization on AI,2014059,Online Course,Completed,5/13/2024,6/10/2024,1697,Seconds,1
Claude 3 Security and Cost Optimization,PSL51498.00,Online Course,Completed,6/10/2024,6/10/2024,,,1
Gemini: Prompt Engineering Best Practices,PSL51492.00,Online Course,Completed,6/10/2024,6/10/2024,,,1
Gemini: Prompt Engineering for Cyber Security,PSL51486.00,Online Course,Completed,6/10/2024,6/10/2024,,,1
Introduction to AWS AI Services for Developers,LINKEDINLEARNING_85133,Online Course,Completed,,6/10/2024,0,Seconds,1
Microsoft Azure AI Fundamentals (AI-900): Fundamental Principles of Machine Learning on Azure,PSL51368.00,Online Course,Completed,6/10/2024,6/10/2024,,,1
Convolutional Neural Networks (CNNs): Visual Mastery with Deep Learning,PSL25479.00,Online Course,Completed,6/5/2024,6/5/2024,,,1
Crafting Intelligent Recommendation Systems with Deep Learning,PSL48710.00,Online Course,Completed,6/5/2024,6/5/2024,,,1
Diving Deep into Deep Belief Networks (DBNs),PSL48777.00,Online Course,Completed,6/5/2024,6/5/2024,,,1
Recurrent Neural Networks (RNNs): Deep Learning for Sequences and Time Series,PSL23469.00,Online Course,Completed,6/5/2024,6/5/2024,,,1
Demystifying Image Recognition: Dive into Deep Learning,PSL24258.00,Online Course,Completed,6/4/2024,6/4/2024,,,1
Neural Networks for Data Professionals: A Comprehensive Introduction,PSL22758.00,Online Course,Completed,6/4/2024,6/4/2024,,,1
Unlocking Speech Recognition: Deep Learning in Acoustics,PSL50433.00,Online Course,Completed,6/4/2024,6/4/2024,,,1
Anthropic: Prompt Engineering for Business Professionals,PSL51491.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
Anthropic: Prompt Engineering for Developers,PSL51503.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
ChatGPT Enterprise: Deploy and Administer,PSL51367.00,Online Course,Completed,5/27/2024,5/27/2024,372,Seconds,1
First Look: Amazon Bedrock,PSL49767.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
First Look: Azure OpenAI Services,PSL49766.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
First Look: ChatGPT Enterprise,PSL49765.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
First Look: Claude 3,PSL49367.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
First Look: EU Artificial Intelligence Act,PSL48446.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
First Look: Google Gemini,PSL48959.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
Gemini for end-to-end SDLC,PSL52373.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
GitHub Copilot for IT Pros,PSL20633.00,Online Course,Completed,5/27/2024,5/27/2024,,,1
Leveraging Business Analysis in ESG,LINKEDINLEARNING_84106,Online Course,Completed,,5/27/2024,0,Seconds,1
Copilot Foundations,8742,LearningPath,Completed,5/21/2024,5/21/2024,1800,Seconds,1
Customer Conversations: from Inspiration to Decision,S9280154,Online Course,Completed,5/21/2024,5/21/2024,2124,Seconds,1
Develop a RAG-based solution with your own data using Microsoft Foundry,2a0a9e5f-9174-4498-aa64-d0f04e3d872f,Online Course,Completed,,5/21/2024,4680,Seconds,1
Develop generative AI apps in Azure,09cd16c0-2b1f-4231-b110-165675c57d92,Online Course,Completed,,5/21/2024,26940,Seconds,1
Essentials for Copilot for Microsoft 365 Success,S9280155,Online Course,Completed,5/21/2024,5/21/2024,1764,Seconds,1
Flight Plan: Modern Work Specialist,8814,LearningPath,Completed,5/21/2024,5/21/2024,36420,Seconds,1
Get started with prompt flow to develop language model apps in the Microsoft Foundry,0e12bfdc-50dc-4475-b7bb-ad032d4b5ef0,Online Course,Completed,,5/21/2024,2700,Seconds,1
Meet Your Copilot in 10 Minutes,S9276779,Online Course,Completed,5/21/2024,5/21/2024,612,Seconds,1
Meet Your Copilot in 10 Minutes,S9276779,Online Course,CompletedByAlternative,,5/21/2024,612,Seconds,1
Microsoft 365 Copilot: Implementation and Expansion,S9280153,Online Course,Completed,5/21/2024,5/21/2024,1044,Seconds,1
Microsoft 365 Copilot: Implementation and Expansion,S9280153,Online Course,CompletedByAlternative,,5/21/2024,1044,Seconds,1
Navigate with Copilot in 10 Minutes,S9276780,Online Course,Completed,5/21/2024,5/21/2024,612,Seconds,1
Navigate with Copilot in 10 Minutes,S9276780,Online Course,CompletedByAlternative,,5/21/2024,612,Seconds,1
Soar with Copilot in 10 Minutes,S9276781,Online Course,Completed,5/21/2024,5/21/2024,612,Seconds,1
Soar with Copilot in 10 Minutes,S9276781,Online Course,CompletedByAlternative,,5/21/2024,612,Seconds,1
Test Out: Copilot Foundations,S9282370,Online Course,Completed,5/21/2024,5/21/2024,612,Seconds,1
Test Out: Microsoft 365 Copilot Implementation and Expansion,S9280704,Online Course,Completed,5/21/2024,5/21/2024,612,Seconds,1
The Copilot for Microsoft 365 Selling Journey,S9280152,Online Course,Completed,5/21/2024,5/21/2024,1584,Seconds,2
TS - Build a RAG-based agent with your own data using Azure AI Foundry,10304,LearningPath,Completed,,5/21/2024,2460,Seconds,1
