Title,Course Id,Type,Completion Status,Start Date,Completed Date,Length,Length Unit,Attempts
Integrate finance and operations apps with Microsoft Azure,a8fa3163-fe06-406a-93e5-fe4de2935009,Online Course,Completed,7/19/2019,7/19/2019,1920,Seconds,1
Introduction to Azure Kubernetes Service,0d8f2dc6-8fc9-44bc-a3dc-5d5a0fe7d3b2,Online Course,Completed,7/19/2019,7/19/2019,1500,Seconds,1
Introduction to Dataverse for developers,8e0b14d1-9e9d-441d-9f23-ac6a63544515,Online Course,Completed,7/19/2019,7/19/2019,1800,Seconds,1
Introduction to developing with finance and operations apps,8e281ee6-6e0a-4763-9187-d78b5c95f43d,Online Course,Completed,7/19/2019,7/19/2019,33120,Seconds,1
Manage data sources with external data stores in finance and operations apps,7d7123d4-511e-41ed-b8aa-4c6d6e6e584c,Online Course,Completed,7/19/2019,7/19/2019,3240,Seconds,1
Secure your application by using OpenID Connect and Azure AD,4f72c3a8-0af8-462f-93c8-dfc127148e68,Online Course,Completed,7/19/2019,7/19/2019,3000,Seconds,1
Work with asynchronous integrations in finance and operations apps,bb67d891-f460-46af-9381-88e9406b2dc6,Online Course,Completed,7/19/2019,7/19/2019,8400,Seconds,1
Build forms and optimize form performance in finance and operations apps,b3d87875-82a0-494b-a595-ee6a1fa2bc1c,Online Course,Completed,7/16/2019,7/16/2019,8400,Seconds,1
Get started with development using X++ in finance and operations apps,9b7b9c2e-3420-4aed-b035-abadc1fc8c53,Online Course,Completed,7/16/2019,7/16/2019,4020,Seconds,1
Performing common actions with client script,640af5b7-4592-4876-98d3-31d97fcaf048,Online Course,Completed,7/16/2019,7/16/2019,2520,Seconds,1
Work with performance and monitoring tools in finance and operations apps,23d0ac63-b07f-459b-9d32-ab07b0458338,Online Course,Completed,7/16/2019,7/16/2019,5160,Seconds,1
Sales Forecasting,LINKEDINLEARNING_16553,Online Course,Completed,7/14/2019,7/14/2019,0,Seconds,1
Sustainability Strategies (2016),LINKEDINLEARNING_18209,Online Course,Completed,7/14/2019,7/14/2019,0,Seconds,1
Automate a business process using Power Automate,1fd8ce34-3d9c-4aac-ac2f-b3b64a9c786f,Online Course,Completed,7/13/2019,7/13/2019,16620,Seconds,1
AWS for Architects: High Availability and Continuous Deployment,LINKEDINLEARNING_27112,Online Course,Completed,7/13/2019,7/13/2019,0,Seconds,1
AWS: Automation and Optimization (2019),802866,Online Course,Completed,7/13/2019,7/13/2019,7796,Seconds,1
Build your first Azure IoT Central application to manage your coffee machines,77f3f6ec-6c43-4add-a11c-d3f5e158749f,Online Course,Completed,7/13/2019,7/13/2019,2880,Seconds,1
Capture and view page load times in your Azure web app with Application Insights,323bea77-7a36-4d8b-b8e3-821df91d5d38,Online Course,Completed,7/13/2019,7/13/2019,2700,Seconds,1
Chain Azure Functions together using input and output bindings,f034e9ca-92b4-45d7-80f7-7cbfa9b6dbb5,Online Course,Completed,7/13/2019,7/13/2019,4200,Seconds,1
Choose the best Azure service to automate your business processes,e8fbbdf9-deaa-4f14-8282-001cf243d5b9,Online Course,Completed,7/13/2019,7/13/2019,2640,Seconds,1
Configure and manage fixed assets and Asset leasing in Dynamics 365 Finance,2aef7f5d-5ef7-460b-a06b-6a577a8a6a4f,Online Course,Completed,7/13/2019,7/13/2019,27720,Seconds,1
